trialnumber,blocknumber,success,reactiontime,currentcongruency,currentdirection,currentlocation,previouscongruency,previousdirection,previouslocation
66,4,1,371,0,0,1,1,1,0
67,4,1,355,1,0,0,0,0,1
68,4,1,462,1,1,1,1,0,0
69,4,1,345,1,0,0,1,1,1
70,4,1,453,0,0,1,1,0,0
71,4,1,526,1,1,0,0,0,1
72,4,0,289,0,1,0,1,1,0
73,4,1,456,1,1,0,0,1,0
74,4,1,556,0,1,1,1,1,0
75,4,1,449,1,0,1,0,1,1
76,4,1,458,0,1,1,1,0,1
77,4,1,618,1,1,0,0,1,1
78,4,1,455,0,1,0,1,1,0
79,4,1,342,1,0,0,0,1,0
80,4,1,331,0,1,1,1,0,0
81,4,1,448,1,1,1,0,1,1
82,4,1,324,1,0,0,1,1,1
83,4,1,420,1,1,0,1,0,0
84,4,1,351,0,0,0,1,1,0
85,4,1,500,1,0,1,0,0,0
86,4,1,321,0,0,0,0,0,0
86,4,1,321,0,0,0,1,0,1
87,4,1,464,1,1,0,0,0,0
88,4,1,416,1,1,1,1,1,0
89,4,1,454,0,0,1,1,1,1
90,4,1,368,1,0,0,0,0,1
91,4,1,379,0,1,0,1,0,0
92,4,0,459,0,1,1,0,1,0
93,4,1,433,1,1,0,0,1,1
94,4,1,505,1,1,0,1,1,0
95,4,1,437,0,0,1,1,1,0
96,4,1,480,0,1,1,0,0,1
97,4,1,436,0,1,0,0,1,1
98,4,1,350,0,0,0,0,1,0
99,4,1,436,0,1,0,0,0,0
100,4,1,338,0,1,1,0,1,0
101,4,0,337,1,0,1,0,1,1
102,4,1,517,0,0,1,1,0,1
103,4,1,450,1,0,1,0,0,1
104,4,1,543,1,1,1,1,0,1
105,4,1,514,0,1,0,1,1,1
106,4,1,467,1,0,0,0,1,0
107,4,1,429,0,0,0,1,0,0
108,4,1,478,1,0,1,0,0,0
109,4,1,436,0,1,1,1,0,1
110,4,1,347,1,0,0,0,1,1
111,4,1,332,0,0,0,1,0,0
112,4,1,334,0,0,0,0,0,0
113,4,1,365,1,1,1,0,0,0
114,4,1,711,1,1,0,1,1,1
115,4,1,370,1,1,1,1,1,0
116,4,1,354,1,0,0,1,1,1
117,4,1,534,0,0,1,1,0,0
118,4,1,538,1,0,1,0,0,1
119,4,1,426,1,1,0,1,0,1
120,4,1,778,0,1,1,1,1,0
121,4,1,476,0,0,1,0,1,1
122,4,1,528,1,0,1,0,0,1
123,4,1,382,1,1,0,1,0,1
124,4,1,593,0,1,1,1,1,0
125,4,1,334,0,0,0,0,1,1
126,4,1,507,0,1,0,0,0,0
127,4,1,419,0,1,1,0,1,0
128,4,1,457,1,0,1,0,1,1
129,4,1,457,1,0,1,1,0,1
130,4,1,378,0,0,1,1,0,1
131,4,1,385,1,0,1,0,0,1
132,4,1,381,0,1,1,1,0,1
133,4,1,443,1,0,1,0,1,1
134,4,1,630,0,0,1,1,0,1
135,4,1,549,0,0,0,0,0,1
136,4,1,521,1,1,1,0,0,0
137,4,1,407,1,0,0,1,1,1
138,4,1,438,0,0,1,1,0,0
139,4,0,284,1,1,0,0,0,1
140,4,1,443,0,0,0,1,1,0
141,4,1,360,1,0,0,0,0,0
142,4,1,431,1,1,1,1,0,0
143,4,1,382,1,0,1,1,1,1
144,4,1,318,1,0,0,1,0,1
145,4,1,320,1,0,0,1,0,0
146,4,1,359,0,1,1,1,0,0
147,4,0,334,1,1,0,0,1,1
148,4,1,334,1,0,0,1,1,0
149,4,1,1516,0,1,1,1,0,0
150,4,1,348,0,0,0,0,1,1
151,4,1,602,0,1,0,0,0,0
152,4,1,409,0,0,1,0,1,0
153,4,1,456,0,1,0,0,0,1
154,4,1,479,0,1,0,0,1,0
155,4,1,368,1,1,1,0,1,0
156,4,1,456,1,0,1,1,1,1
157,4,1,530,1,1,1,1,0,1
158,4,1,439,0,0,0,1,1,1
159,4,1,454,1,1,0,0,0,0
160,4,1,466,0,1,0,1,1,0
